emoji,emoji_name,love_score
🧑🏾‍🦰,"person: medium-dark skin tone, red hair",67.19
🧑🏿‍🦰,"person: dark skin tone, red hair",78.84
👩‍🦱,woman: curly hair,9.48
👩🏻‍🦱,"woman: light skin tone, curly hair",39.59
👩🏼‍🦱,"woman: medium-light skin tone, curly hair",44.67
👩🏽‍🦱,"woman: medium skin tone, curly hair",9.48
👩🏾‍🦱,"woman: medium-dark skin tone, curly hair",9.48
👩🏿‍🦱,"woman: dark skin tone, curly hair",19.46
🧑‍🦱,person: curly hair,9.48
🧑🏻‍🦱,"person: light skin tone, curly hair",44.67
🧑🏼‍🦱,"person: medium-light skin tone, curly hair",9.48
🧑🏽‍🦱,"person: medium skin tone, curly hair",9.48
🧑🏾‍🦱,"person: medium-dark skin tone, curly hair",9.48
🧑🏿‍🦱,"person: dark skin tone, curly hair",49.99
👩‍🦳,woman: white hair,47.68
👩🏻‍🦳,"woman: light skin tone, white hair",52.32
👩🏼‍🦳,"woman: medium-light skin tone, white hair",63.77
👩🏽‍🦳,"woman: medium skin tone, white hair",47.68
👩🏾‍🦳,"woman: medium-dark skin tone, white hair",47.68
👩🏿‍🦳,"woman: dark skin tone, white hair",37.58
🧑‍🦳,person: white hair,47.68
🧑🏻‍🦳,"person: light skin tone, white hair",63.77
🧑🏼‍🦳,"person: medium-light skin tone, white hair",47.68
🧑🏽‍🦳,"person: medium skin tone, white hair",47.68
🧑🏾‍🦳,"person: medium-dark skin tone, white hair",47.68
🧑🏿‍🦳,"person: dark skin tone, white hair",69.09
👩🏻‍🦲,"woman: light skin tone, bald",54.64
👩🏼‍🦲,"woman: medium-light skin tone, bald",79.85
👩🏿‍🦲,"woman: dark skin tone, bald",29.43
🧑🏻‍🦲,"person: light skin tone, bald",79.85
🧑🏿‍🦲,"person: dark skin tone, bald",90.5
👱🏻‍♀️,"woman: light skin tone, blond hair",54.64
👱🏻‍♀,"woman: light skin tone, blond hair",54.64
👱🏼‍♀️,"woman: medium-light skin tone, blond hair",79.85
👱🏼‍♀,"woman: medium-light skin tone, blond hair",79.85
👱🏿‍♀️,"woman: dark skin tone, blond hair",29.43
👱🏿‍♀,"woman: dark skin tone, blond hair",29.43
👱🏻‍♂️,"man: light skin tone, blond hair",79.85
👱🏻‍♂,"man: light skin tone, blond hair",79.85
👱🏼‍♂️,"man: medium-light skin tone, blond hair",79.85
👱🏼‍♂,"man: medium-light skin tone, blond hair",79.85
👱🏽‍♂️,"man: medium skin tone, blond hair",29.43
👱🏽‍♂,"man: medium skin tone, blond hair",29.43
👱🏾‍♂️,"man: medium-dark skin tone, blond hair",90.5
👱🏾‍♂,"man: medium-dark skin tone, blond hair",90.5
🧓,older person,73.37
🧓🏻,older person: light skin tone,76.61
🧓🏼,older person: medium-light skin tone,73.37
🧓🏽,older person: medium skin tone,73.37
🧓🏾,older person: medium-dark skin tone,73.37
🧓🏿,older person: dark skin tone,81.93
👴,old man,73.37
👴🏻,old man: light skin tone,51.4
👴🏼,old man: medium-light skin tone,76.61
👴🏽,old man: medium skin tone,51.4
👴🏾,old man: medium-dark skin tone,81.93
👴🏿,old man: dark skin tone,51.4
👵,old woman,73.37
👵🏻,old woman: light skin tone,60.88
👵🏼,old woman: medium-light skin tone,76.61
👵🏽,old woman: medium skin tone,73.37
👵🏾,old woman: medium-dark skin tone,73.37
👵🏿,old woman: dark skin tone,73.37
🙍,person frowning,58.19
🙍🏻,person frowning: light skin tone,69.02
🙍🏼,person frowning: medium-light skin tone,69.02
🙍🏽,person frowning: medium skin tone,58.19
🙍🏾,person frowning: medium-dark skin tone,58.19
🙍🏿,person frowning: dark skin tone,74.34
🙍‍♂️,man frowning,58.19
🙍‍♂,man frowning,58.19
🙍🏻‍♂️,man frowning: light skin tone,69.02
🙍🏻‍♂,man frowning: light skin tone,69.02
🙍🏼‍♂️,man frowning: medium-light skin tone,69.02
🙍🏼‍♂,man frowning: medium-light skin tone,69.02
🙍🏽‍♂️,man frowning: medium skin tone,58.19
🙍🏽‍♂,man frowning: medium skin tone,58.19
🙍🏾‍♂️,man frowning: medium-dark skin tone,58.19
🙍🏾‍♂,man frowning: medium-dark skin tone,58.19
🙍🏿‍♂️,man frowning: dark skin tone,74.34
🙍🏿‍♂,man frowning: dark skin tone,74.34
🙍‍♀️,woman frowning,58.19
🙍‍♀,woman frowning,58.19
🙍🏻‍♀️,woman frowning: light skin tone,69.02
🙍🏻‍♀,woman frowning: light skin tone,69.02
🙍🏼‍♀️,woman frowning: medium-light skin tone,69.02
🙍🏼‍♀,woman frowning: medium-light skin tone,69.02
🙍🏽‍♀️,woman frowning: medium skin tone,58.19
🙍🏽‍♀,woman frowning: medium skin tone,58.19
🙍🏾‍♀️,woman frowning: medium-dark skin tone,58.19
🙍🏾‍♀,woman frowning: medium-dark skin tone,58.19
🙍🏿‍♀️,woman frowning: dark skin tone,74.34
🙍🏿‍♀,woman frowning: dark skin tone,74.34
🙎,person pouting,86.67
🙎🏻,person pouting: light skin tone,83.26
🙎🏼,person pouting: medium-light skin tone,83.26
🙎🏽,person pouting: medium skin tone,86.67
🙎🏾,person pouting: medium-dark skin tone,86.67
🙎🏿,person pouting: dark skin tone,88.58
🙎‍♂️,man pouting,86.67
🙎‍♂,man pouting,86.67
🙎🏻‍♂️,man pouting: light skin tone,83.26
🙎🏻‍♂,man pouting: light skin tone,83.26
🙎🏼‍♂️,man pouting: medium-light skin tone,83.26
🙎🏼‍♂,man pouting: medium-light skin tone,83.26
🙎🏽‍♂️,man pouting: medium skin tone,86.67
🙎🏽‍♂,man pouting: medium skin tone,86.67
🙎🏾‍♂️,man pouting: medium-dark skin tone,86.67
🙎🏾‍♂,man pouting: medium-dark skin tone,86.67
🙎🏿‍♂️,man pouting: dark skin tone,88.58
🙎🏿‍♂,man pouting: dark skin tone,88.58
🙎‍♀️,woman pouting,86.67
🙎‍♀,woman pouting,86.67
🙎🏻‍♀️,woman pouting: light skin tone,83.26
🙎🏻‍♀,woman pouting: light skin tone,83.26
🙎🏼‍♀️,woman pouting: medium-light skin tone,83.26
🙎🏼‍♀,woman pouting: medium-light skin tone,83.26
🙎🏽‍♀️,woman pouting: medium skin tone,86.67
🙎🏽‍♀,woman pouting: medium skin tone,86.67
🙎🏾‍♀️,woman pouting: medium-dark skin tone,86.67
🙎🏾‍♀,woman pouting: medium-dark skin tone,86.67
🙎🏿‍♀️,woman pouting: dark skin tone,88.58
🙎🏿‍♀,woman pouting: dark skin tone,88.58
🙅,person gesturing NO,36.55
🙅🏻,person gesturing NO: light skin tone,32.99
🙅🏼,person gesturing NO: medium-light skin tone,36.55
🙅🏽,person gesturing NO: medium skin tone,32.99
🙅🏾,person gesturing NO: medium-dark skin tone,36.55
🙅🏿,person gesturing NO: dark skin tone,36.55
🙅‍♂️,man gesturing NO,36.55
🙅‍♂,man gesturing NO,36.55
🙅🏻‍♂️,man gesturing NO: light skin tone,32.99
🙅🏻‍♂,man gesturing NO: light skin tone,32.99
🙅🏼‍♂️,man gesturing NO: medium-light skin tone,36.55
🙅🏼‍♂,man gesturing NO: medium-light skin tone,36.55
🙅🏽‍♂️,man gesturing NO: medium skin tone,32.99
🙅🏽‍♂,man gesturing NO: medium skin tone,32.99
🙅🏾‍♂️,man gesturing NO: medium-dark skin tone,36.55
🙅🏾‍♂,man gesturing NO: medium-dark skin tone,36.55
