emoji,emoji_name,love_score
🏌🏾‍♀,woman golfing: medium-dark skin tone,2.8
🏌🏿‍♀️,woman golfing: dark skin tone,46.65
🏌🏿‍♀,woman golfing: dark skin tone,46.65
🏄,person surfing,1.46
🏄🏻,person surfing: light skin tone,40.66
🏄🏼,person surfing: medium-light skin tone,40.66
🏄🏽,person surfing: medium skin tone,1.46
🏄🏾,person surfing: medium-dark skin tone,1.46
🏄🏿,person surfing: dark skin tone,45.98
🏄‍♂️,man surfing,1.46
🏄‍♂,man surfing,1.46
🏄🏻‍♂️,man surfing: light skin tone,40.66
🏄🏻‍♂,man surfing: light skin tone,40.66
🏄🏼‍♂️,man surfing: medium-light skin tone,40.66
🏄🏼‍♂,man surfing: medium-light skin tone,40.66
🏄🏽‍♂️,man surfing: medium skin tone,1.46
🏄🏽‍♂,man surfing: medium skin tone,1.46
🏄🏾‍♂️,man surfing: medium-dark skin tone,1.46
🏄🏾‍♂,man surfing: medium-dark skin tone,1.46
🏄🏿‍♂️,man surfing: dark skin tone,45.98
🏄🏿‍♂,man surfing: dark skin tone,45.98
🏄‍♀️,woman surfing,1.46
🏄‍♀,woman surfing,1.46
🏄🏻‍♀️,woman surfing: light skin tone,40.66
🏄🏻‍♀,woman surfing: light skin tone,40.66
🏄🏼‍♀️,woman surfing: medium-light skin tone,40.66
🏄🏼‍♀,woman surfing: medium-light skin tone,40.66
🏄🏽‍♀️,woman surfing: medium skin tone,1.46
🏄🏽‍♀,woman surfing: medium skin tone,1.46
🏄🏾‍♀️,woman surfing: medium-dark skin tone,1.46
🏄🏾‍♀,woman surfing: medium-dark skin tone,1.46
🏄🏿‍♀️,woman surfing: dark skin tone,45.98
🏄🏿‍♀,woman surfing: dark skin tone,45.98
🚣,person rowing boat,5.05
🚣🏻,person rowing boat: light skin tone,5.05
🚣🏼,person rowing boat: medium-light skin tone,42.45
🚣🏽,person rowing boat: medium skin tone,5.05
🚣🏾,person rowing boat: medium-dark skin tone,5.05
🚣🏿,person rowing boat: dark skin tone,5.05
🚣‍♂️,man rowing boat,5.05
🚣‍♂,man rowing boat,5.05
🚣🏻‍♂️,man rowing boat: light skin tone,5.05
🚣🏻‍♂,man rowing boat: light skin tone,5.05
🚣🏼‍♂️,man rowing boat: medium-light skin tone,42.45
🚣🏼‍♂,man rowing boat: medium-light skin tone,42.45
🚣🏽‍♂️,man rowing boat: medium skin tone,5.05
🚣🏽‍♂,man rowing boat: medium skin tone,5.05
🚣🏾‍♂️,man rowing boat: medium-dark skin tone,5.05
🚣🏾‍♂,man rowing boat: medium-dark skin tone,5.05
🚣🏿‍♂️,man rowing boat: dark skin tone,5.05
🚣🏿‍♂,man rowing boat: dark skin tone,5.05
🚣‍♀️,woman rowing boat,5.05
🚣‍♀,woman rowing boat,5.05
🚣🏻‍♀️,woman rowing boat: light skin tone,5.05
🚣🏻‍♀,woman rowing boat: light skin tone,5.05
🚣🏼‍♀️,woman rowing boat: medium-light skin tone,42.45
🚣🏼‍♀,woman rowing boat: medium-light skin tone,42.45
🚣🏽‍♀️,woman rowing boat: medium skin tone,5.05
🚣🏽‍♀,woman rowing boat: medium skin tone,5.05
🚣🏾‍♀️,woman rowing boat: medium-dark skin tone,5.05
🚣🏾‍♀,woman rowing boat: medium-dark skin tone,5.05
🚣🏿‍♀️,woman rowing boat: dark skin tone,5.05
🚣🏿‍♀,woman rowing boat: dark skin tone,5.05
🏊,person swimming,4.54
🏊🏻,person swimming: light skin tone,42.2
🏊🏼,person swimming: medium-light skin tone,4.54
🏊🏽,person swimming: medium skin tone,4.54
🏊🏾,person swimming: medium-dark skin tone,4.54
🏊🏿,person swimming: dark skin tone,47.52
🏊‍♂️,man swimming,4.54
🏊‍♂,man swimming,4.54
🏊🏻‍♂️,man swimming: light skin tone,42.2
🏊🏻‍♂,man swimming: light skin tone,42.2
🏊🏼‍♂️,man swimming: medium-light skin tone,4.54
🏊🏼‍♂,man swimming: medium-light skin tone,4.54
🏊🏽‍♂️,man swimming: medium skin tone,4.54
🏊🏽‍♂,man swimming: medium skin tone,4.54
🏊🏾‍♂️,man swimming: medium-dark skin tone,4.54
🏊🏾‍♂,man swimming: medium-dark skin tone,4.54
🏊🏿‍♂️,man swimming: dark skin tone,47.52
🏊🏿‍♂,man swimming: dark skin tone,47.52
🏊‍♀️,woman swimming,4.54
🏊‍♀,woman swimming,4.54
🏊🏻‍♀️,woman swimming: light skin tone,42.2
🏊🏻‍♀,woman swimming: light skin tone,42.2
🏊🏼‍♀️,woman swimming: medium-light skin tone,4.54
🏊🏼‍♀,woman swimming: medium-light skin tone,4.54
🏊🏽‍♀️,woman swimming: medium skin tone,4.54
🏊🏽‍♀,woman swimming: medium skin tone,4.54
🏊🏾‍♀️,woman swimming: medium-dark skin tone,4.54
🏊🏾‍♀,woman swimming: medium-dark skin tone,4.54
🏊🏿‍♀️,woman swimming: dark skin tone,47.52
🏊🏿‍♀,woman swimming: dark skin tone,47.52
⛹️,person bouncing ball,22.94
⛹,person bouncing ball,22.94
⛹🏻,person bouncing ball: light skin tone,51.4
⛹🏼,person bouncing ball: medium-light skin tone,36.58
⛹🏽,person bouncing ball: medium skin tone,22.94
⛹🏾,person bouncing ball: medium-dark skin tone,14.94
⛹🏿,person bouncing ball: dark skin tone,26.19
⛹️‍♂️,man bouncing ball,22.94
⛹‍♂️,man bouncing ball,22.94
⛹️‍♂,man bouncing ball,22.94
⛹‍♂,man bouncing ball,22.94
⛹🏻‍♂️,man bouncing ball: light skin tone,36.58
⛹🏻‍♂,man bouncing ball: light skin tone,36.58
⛹🏼‍♂️,man bouncing ball: medium-light skin tone,36.58
⛹🏼‍♂,man bouncing ball: medium-light skin tone,36.58
⛹🏽‍♂️,man bouncing ball: medium skin tone,14.94
⛹🏽‍♂,man bouncing ball: medium skin tone,14.94
⛹🏾‍♂️,man bouncing ball: medium-dark skin tone,14.94
⛹🏾‍♂,man bouncing ball: medium-dark skin tone,14.94
⛹🏿‍♂️,man bouncing ball: dark skin tone,40.13
⛹🏿‍♂,man bouncing ball: dark skin tone,40.13
⛹️‍♀️,woman bouncing ball,22.94
⛹‍♀️,woman bouncing ball,22.94
⛹️‍♀,woman bouncing ball,22.94
⛹‍♀,woman bouncing ball,22.94
⛹🏻‍♀️,woman bouncing ball: light skin tone,51.4
⛹🏻‍♀,woman bouncing ball: light skin tone,51.4
⛹🏼‍♀️,woman bouncing ball: medium-light skin tone,36.58
⛹🏼‍♀,woman bouncing ball: medium-light skin tone,36.58
⛹🏽‍♀️,woman bouncing ball: medium skin tone,14.94
⛹🏽‍♀,woman bouncing ball: medium skin tone,14.94
⛹🏾‍♀️,woman bouncing ball: medium-dark skin tone,14.94
⛹🏾‍♀,woman bouncing ball: medium-dark skin tone,14.94
⛹🏿‍♀️,woman bouncing ball: dark skin tone,26.19
⛹🏿‍♀,woman bouncing ball: dark skin tone,26.19
🏋️,person lifting weights,18.62
🏋,person lifting weights,18.62
🏋🏻,person lifting weights: light skin tone,49.24
🏋🏼,person lifting weights: medium-light skin tone,49.24
🏋🏽,person lifting weights: medium skin tone,18.62
🏋🏾,person lifting weights: medium-dark skin tone,18.62
🏋🏿,person lifting weights: dark skin tone,54.56
🏋️‍♂️,man lifting weights,18.62
🏋‍♂️,man lifting weights,18.62
🏋️‍♂,man lifting weights,18.62
🏋‍♂,man lifting weights,18.62
🏋🏻‍♂️,man lifting weights: light skin tone,49.24
🏋🏻‍♂,man lifting weights: light skin tone,49.24
🏋🏼‍♂️,man lifting weights: medium-light skin tone,49.24
🏋🏼‍♂,man lifting weights: medium-light skin tone,49.24
🏋🏽‍♂️,man lifting weights: medium skin tone,18.62
🏋🏽‍♂,man lifting weights: medium skin tone,18.62
🏋🏾‍♂️,man lifting weights: medium-dark skin tone,18.62
🏋🏾‍♂,man lifting weights: medium-dark skin tone,18.62
🏋🏿‍♂️,man lifting weights: dark skin tone,54.56
🏋🏿‍♂,man lifting weights: dark skin tone,54.56
🏋️‍♀️,woman lifting weights,18.62
🏋‍♀️,woman lifting weights,18.62
🏋️‍♀,woman lifting weights,18.62
🏋‍♀,woman lifting weights,18.62
🏋🏻‍♀️,woman lifting weights: light skin tone,49.24
🏋🏻‍♀,woman lifting weights: light skin tone,49.24
🏋🏼‍♀️,woman lifting weights: medium-light skin tone,49.24
🏋🏼‍♀,woman lifting weights: medium-light skin tone,49.24
🏋🏽‍♀️,woman lifting weights: medium skin tone,18.62
🏋🏽‍♀,woman lifting weights: medium skin tone,18.62
🏋🏾‍♀️,woman lifting weights: medium-dark skin tone,18.62
🏋🏾‍♀,woman lifting weights: medium-dark skin tone,18.62
🏋🏿‍♀️,woman lifting weights: dark skin tone,54.56
🏋🏿‍♀,woman lifting weights: dark skin tone,54.56
🚴,person biking,4.05
🚴🏻,person biking: light skin tone,41.95
🚴🏼,person biking: medium-light skin tone,41.95
🚴🏽,person biking: medium skin tone,4.05
🚴🏾,person biking: medium-dark skin tone,4.05
🚴🏿,person biking: dark skin tone,47.27
🚴🏻‍♂️,man biking: light skin tone,41.95
🚴🏻‍♂,man biking: light skin tone,41.95
🚴🏼‍♂️,man biking: medium-light skin tone,41.95
🚴🏼‍♂,man biking: medium-light skin tone,41.95
🚴🏽‍♂️,man biking: medium skin tone,4.05
🚴🏽‍♂,man biking: medium skin tone,4.05
🚴🏾‍♂️,man biking: medium-dark skin tone,4.05
🚴🏾‍♂,man biking: medium-dark skin tone,4.05
🚴🏿‍♂️,man biking: dark skin tone,47.27
🚴🏿‍♂,man biking: dark skin tone,47.27
🚴🏻‍♀️,woman biking: light skin tone,41.95
🚴🏻‍♀,woman biking: light skin tone,41.95
🚴🏼‍♀️,woman biking: medium-light skin tone,41.95
🚴🏼‍♀,woman biking: medium-light skin tone,41.95
🚴🏽‍♀️,woman biking: medium skin tone,4.05
🚴🏽‍♀,woman biking: medium skin tone,4.05
🚴🏾‍♀️,woman biking: medium-dark skin tone,4.05
🚴🏾‍♀,woman biking: medium-dark skin tone,4.05
🚴🏿‍♀️,woman biking: dark skin tone,47.27
🚴🏿‍♀,woman biking: dark skin tone,47.27
🚵🏻,person mountain biking: light skin tone,79.85
🚵🏼,person mountain biking: medium-light skin tone,79.85
🚵🏽,person mountain biking: medium skin tone,4.05
🚵🏾,person mountain biking: medium-dark skin tone,4.05
🚵🏻‍♂️,man mountain biking: light skin tone,41.95
🚵🏻‍♂,man mountain biking: light skin tone,41.95
🚵🏼‍♂️,man mountain biking: medium-light skin tone,41.95
🚵🏼‍♂,man mountain biking: medium-light skin tone,41.95
🚵🏽‍♂️,man mountain biking: medium skin tone,4.05
🚵🏽‍♂,man mountain biking: medium skin tone,4.05
🚵🏾‍♂️,man mountain biking: medium-dark skin tone,4.05
🚵🏾‍♂,man mountain biking: medium-dark skin tone,4.05
🚵🏿‍♂️,man mountain biking: dark skin tone,47.27
🚵🏿‍♂,man mountain biking: dark skin tone,47.27
🚵🏻‍♀️,woman mountain biking: light skin tone,41.95
🚵🏻‍♀,woman mountain biking: light skin tone,41.95
🚵🏼‍♀️,woman mountain biking: medium-light skin tone,41.95
🚵🏼‍♀,woman mountain biking: medium-light skin tone,41.95
🚵🏽‍♀️,woman mountain biking: medium skin tone,4.05
🚵🏽‍♀,woman mountain biking: medium skin tone,4.05
🚵🏾‍♀️,woman mountain biking: medium-dark skin tone,4.05
🚵🏾‍♀,woman mountain biking: medium-dark skin tone,4.05
🚵🏿‍♀️,woman mountain biking: dark skin tone,47.27
🚵🏿‍♀,woman mountain biking: dark skin tone,47.27
🤸,person cartwheeling,31.93
🤸🏻,person cartwheeling: light skin tone,55.89
🤸🏼,person cartwheeling: medium-light skin tone,55.89
🤸🏽,person cartwheeling: medium skin tone,31.93
🤸🏾,person cartwheeling: medium-dark skin tone,31.93
🤸🏿,person cartwheeling: dark skin tone,61.22
🤸‍♂️,man cartwheeling,31.93
🤸‍♂,man cartwheeling,31.93
🤸🏻‍♂️,man cartwheeling: light skin tone,55.89
🤸🏻‍♂,man cartwheeling: light skin tone,55.89
🤸🏼‍♂️,man cartwheeling: medium-light skin tone,55.89
🤸🏼‍♂,man cartwheeling: medium-light skin tone,55.89
🤸🏽‍♂️,man cartwheeling: medium skin tone,31.93
🤸🏽‍♂,man cartwheeling: medium skin tone,31.93
🤸🏾‍♂️,man cartwheeling: medium-dark skin tone,31.93
🤸🏾‍♂,man cartwheeling: medium-dark skin tone,31.93
🤸🏿‍♂️,man cartwheeling: dark skin tone,61.22
🤸🏿‍♂,man cartwheeling: dark skin tone,61.22
🤸‍♀️,woman cartwheeling,31.93
🤸‍♀,woman cartwheeling,31.93
🤸🏻‍♀️,woman cartwheeling: light skin tone,55.89
🤸🏻‍♀,woman cartwheeling: light skin tone,55.89
🤸🏼‍♀️,woman cartwheeling: medium-light skin tone,55.89
🤸🏼‍♀,woman cartwheeling: medium-light skin tone,55.89
🤸🏽‍♀️,woman cartwheeling: medium skin tone,31.93
🤸🏽‍♀,woman cartwheeling: medium skin tone,31.93
🤸🏾‍♀️,woman cartwheeling: medium-dark skin tone,31.93
🤸🏾‍♀,woman cartwheeling: medium-dark skin tone,31.93
🤸🏿‍♀️,woman cartwheeling: dark skin tone,61.22
🤸🏿‍♀,woman cartwheeling: dark skin tone,61.22
🤼,people wrestling,5.9
🤼‍♂️,men wrestling,5.9
🤼‍♂,men wrestling,5.9
🤼‍♀️,women wrestling,5.9
🤼‍♀,women wrestling,5.9
🤽,person playing water polo,72.25
🤽🏻,person playing water polo: light skin tone,72.25
🤽🏼,person playing water polo: medium-light skin tone,76.05
🤽🏽,person playing water polo: medium skin tone,72.25
🤽🏾,person playing water polo: medium-dark skin tone,72.25
🤽🏿,person playing water polo: dark skin tone,72.25
🤽‍♂️,man playing water polo,72.25
🤽‍♂,man playing water polo,72.25
🤽🏻‍♂️,man playing water polo: light skin tone,72.25
🤽🏻‍♂,man playing water polo: light skin tone,72.25
🤽🏼‍♂️,man playing water polo: medium-light skin tone,76.05
🤽🏼‍♂,man playing water polo: medium-light skin tone,76.05
🤽🏽‍♂️,man playing water polo: medium skin tone,72.25
🤽🏽‍♂,man playing water polo: medium skin tone,72.25
🤽🏾‍♂️,man playing water polo: medium-dark skin tone,72.25
🤽🏾‍♂,man playing water polo: medium-dark skin tone,72.25
🤽🏿‍♂️,man playing water polo: dark skin tone,72.25
🤽🏿‍♂,man playing water polo: dark skin tone,72.25
🤽‍♀️,woman playing water polo,72.25
🤽‍♀,woman playing water polo,72.25
🤽🏻‍♀️,woman playing water polo: light skin tone,72.25
🤽🏻‍♀,woman playing water polo: light skin tone,72.25
🤽🏼‍♀️,woman playing water polo: medium-light skin tone,76.05
🤽🏼‍♀,woman playing water polo: medium-light skin tone,76.05
🤽🏽‍♀️,woman playing water polo: medium skin tone,72.25
🤽🏽‍♀,woman playing water polo: medium skin tone,72.25
🤽🏾‍♀️,woman playing water polo: medium-dark skin tone,72.25
🤽🏾‍♀,woman playing water polo: medium-dark skin tone,72.25
🤽🏿‍♀️,woman playing water polo: dark skin tone,72.25
🤽🏿‍♀,woman playing water polo: dark skin tone,72.25
🤾,person playing handball,72.25
🤾🏻,person playing handball: light skin tone,76.05
🤾🏼,person playing handball: medium-light skin tone,50.79
🤾🏽,person playing handball: medium skin tone,36.26
🤾🏾,person playing handball: medium-dark skin tone,36.26
🤾🏿,person playing handball: dark skin tone,72.25
🤾‍♂️,man playing handball,72.25
🤾‍♂,man playing handball,72.25
🤾🏻‍♂️,man playing handball: light skin tone,50.79
🤾🏻‍♂,man playing handball: light skin tone,50.79
🤾🏼‍♂️,man playing handball: medium-light skin tone,50.79
🤾🏼‍♂,man playing handball: medium-light skin tone,50.79
🤾🏽‍♂️,man playing handball: medium skin tone,36.26
🤾🏽‍♂,man playing handball: medium skin tone,36.26
🤾🏾‍♂️,man playing handball: medium-dark skin tone,36.26
🤾🏾‍♂,man playing handball: medium-dark skin tone,36.26
🤾🏿‍♂️,man playing handball: dark skin tone,54.34
🤾🏿‍♂,man playing handball: dark skin tone,54.34
🤾‍♀️,woman playing handball,72.25
🤾‍♀,woman playing handball,72.25
🤾🏻‍♀️,woman playing handball: light skin tone,76.05
🤾🏻‍♀,woman playing handball: light skin tone,76.05
🤾🏼‍♀️,woman playing handball: medium-light skin tone,50.79
🤾🏼‍♀,woman playing handball: medium-light skin tone,50.79
🤾🏽‍♀️,woman playing handball: medium skin tone,36.26
🤾🏽‍♀,woman playing handball: medium skin tone,36.26
🤾🏾‍♀️,woman playing handball: medium-dark skin tone,36.26
🤾🏾‍♀,woman playing handball: medium-dark skin tone,36.26
🤾🏿‍♀️,woman playing handball: dark skin tone,54.34
🤾🏿‍♀,woman playing handball: dark skin tone,54.34
🤹,person juggling,18.32
🤹🏻,person juggling: light skin tone,49.09
🤹🏼,person juggling: medium-light skin tone,49.09
🤹🏽,person juggling: medium skin tone,18.32
🤹🏾,person juggling: medium-dark skin tone,18.32
🤹🏿,person juggling: dark skin tone,54.41
🤹🏻‍♂️,man juggling: light skin tone,49.09
🤹🏻‍♂,man juggling: light skin tone,49.09
🤹🏼‍♂️,man juggling: medium-light skin tone,49.09
🤹🏼‍♂,man juggling: medium-light skin tone,49.09
🤹🏽‍♂️,man juggling: medium skin tone,18.32
🤹🏽‍♂,man juggling: medium skin tone,18.32
🤹🏾‍♂️,man juggling: medium-dark skin tone,18.32
🤹🏾‍♂,man juggling: medium-dark skin tone,18.32
🤹🏿‍♂️,man juggling: dark skin tone,54.41
🤹🏿‍♂,man juggling: dark skin tone,54.41
🤹‍♀️,woman juggling,18.32
🤹‍♀,woman juggling,18.32
🤹🏻‍♀️,woman juggling: light skin tone,49.09
🤹🏻‍♀,woman juggling: light skin tone,49.09
🤹🏼‍♀️,woman juggling: medium-light skin tone,49.09
🤹🏼‍♀,woman juggling: medium-light skin tone,49.09
🤹🏽‍♀️,woman juggling: medium skin tone,18.32
🤹🏽‍♀,woman juggling: medium skin tone,18.32
🤹🏾‍♀️,woman juggling: medium-dark skin tone,18.32
🤹🏾‍♀,woman juggling: medium-dark skin tone,18.32
🤹🏿‍♀️,woman juggling: dark skin tone,54.41
🤹🏿‍♀,woman juggling: dark skin tone,54.41
🧘🏻,person in lotus position: light skin tone,17.15
🧘🏼,person in lotus position: medium-light skin tone,48.5
🧘🏽,person in lotus position: medium skin tone,17.15
🧘🏾,person in lotus position: medium-dark skin tone,17.15
🧘🏿,person in lotus position: dark skin tone,17.15
🧘‍♂️,man in lotus position,17.15
🧘‍♂,man in lotus position,17.15
🧘🏻‍♂️,man in lotus position: light skin tone,17.15
🧘🏻‍♂,man in lotus position: light skin tone,17.15
🧘🏼‍♂️,man in lotus position: medium-light skin tone,48.5
🧘🏼‍♂,man in lotus position: medium-light skin tone,48.5
🧘🏽‍♂️,man in lotus position: medium skin tone,17.15
🧘🏽‍♂,man in lotus position: medium skin tone,17.15
🧘🏾‍♂️,man in lotus position: medium-dark skin tone,17.15
🧘🏾‍♂,man in lotus position: medium-dark skin tone,17.15
🧘🏿‍♂️,man in lotus position: dark skin tone,17.15
🧘🏿‍♂,man in lotus position: dark skin tone,17.15
🧘‍♀️,woman in lotus position,17.15
🧘‍♀,woman in lotus position,17.15
🧘🏻‍♀️,woman in lotus position: light skin tone,17.15
🧘🏻‍♀,woman in lotus position: light skin tone,17.15
🧘🏼‍♀️,woman in lotus position: medium-light skin tone,48.5
🧘🏼‍♀,woman in lotus position: medium-light skin tone,48.5
🧘🏽‍♀️,woman in lotus position: medium skin tone,17.15
🧘🏽‍♀,woman in lotus position: medium skin tone,17.15
🧘🏾‍♀️,woman in lotus position: medium-dark skin tone,17.15
🧘🏾‍♀,woman in lotus position: medium-dark skin tone,17.15
🧘🏿‍♀️,woman in lotus position: dark skin tone,17.15
🧘🏿‍♀,woman in lotus position: dark skin tone,17.15
🛀,person taking bath,96.25
🛀🏻,person taking bath: light skin tone,96.25
🛀🏼,person taking bath: medium-light skin tone,61.15
🛀🏽,person taking bath: medium skin tone,96.25
🛀🏾,person taking bath: medium-dark skin tone,51.8
🛀🏿,person taking bath: dark skin tone,96.25
🛌🏻,person in bed: light skin tone,79.85
🛌🏼,person in bed: medium-light skin tone,79.85
🛌🏿,person in bed: dark skin tone,90.5
🧑‍🤝‍🧑,people holding hands,86.81
🧑🏻‍🤝‍🧑🏻,people holding hands: light skin tone,83.33
🧑🏻‍🤝‍🧑🏼,"people holding hands: light skin tone, medium-light skin tone",82.17
🧑🏻‍🤝‍🧑🏽,"people holding hands: light skin tone, medium skin tone",83.33
🧑🏻‍🤝‍🧑🏾,"people holding hands: light skin tone, medium-dark skin tone",83.33
🧑🏻‍🤝‍🧑🏿,"people holding hands: light skin tone, dark skin tone",83.33
🧑🏼‍🤝‍🧑🏻,"people holding hands: medium-light skin tone, light skin tone",64.14
🧑🏼‍🤝‍🧑🏼,people holding hands: medium-light skin tone,58.9
🧑🏼‍🤝‍🧑🏽,"people holding hands: medium-light skin tone, medium skin tone",58.9
🧑🏼‍🤝‍🧑🏾,"people holding hands: medium-light skin tone, medium-dark skin tone",58.9
🧑🏼‍🤝‍🧑🏿,"people holding hands: medium-light skin tone, dark skin tone",58.9
🧑🏽‍🤝‍🧑🏻,"people holding hands: medium skin tone, light skin tone",51.53
🧑🏽‍🤝‍🧑🏼,"people holding hands: medium skin tone, medium-light skin tone",58.9
🧑🏽‍🤝‍🧑🏽,people holding hands: medium skin tone,48.42
🧑🏽‍🤝‍🧑🏾,"people holding hands: medium skin tone, medium-dark skin tone",48.42
🧑🏽‍🤝‍🧑🏿,"people holding hands: medium skin tone, dark skin tone",48.42
🧑🏾‍🤝‍🧑🏻,"people holding hands: medium-dark skin tone, light skin tone",66.8
🧑🏾‍🤝‍🧑🏼,"people holding hands: medium-dark skin tone, medium-light skin tone",66.8
🧑🏾‍🤝‍🧑🏽,"people holding hands: medium-dark skin tone, medium skin tone",62.45
🧑🏾‍🤝‍🧑🏾,people holding hands: medium-dark skin tone,62.45
🧑🏾‍🤝‍🧑🏿,"people holding hands: medium-dark skin tone, dark skin tone",62.45
🧑🏿‍🤝‍🧑🏻,"people holding hands: dark skin tone, light skin tone",71.65
🧑🏿‍🤝‍🧑🏼,"people holding hands: dark skin tone, medium-light skin tone",85.72
🧑🏿‍🤝‍🧑🏽,"people holding hands: dark skin tone, medium skin tone",88.65
🧑🏿‍🤝‍🧑🏾,"people holding hands: dark skin tone, medium-dark skin tone",88.65
🧑🏿‍🤝‍🧑🏿,people holding hands: dark skin tone,88.65
👭,women holding hands,86.81
👭🏻,women holding hands: light skin tone,83.33
👩🏻‍🤝‍👩🏼,"women holding hands: light skin tone, medium-light skin tone",82.17
👩🏻‍🤝‍👩🏽,"women holding hands: light skin tone, medium skin tone",83.33
👩🏻‍🤝‍👩🏾,"women holding hands: light skin tone, medium-dark skin tone",83.33
👩🏻‍🤝‍👩🏿,"women holding hands: light skin tone, dark skin tone",83.33
👩🏼‍🤝‍👩🏻,"women holding hands: medium-light skin tone, light skin tone",64.14
👭🏼,women holding hands: medium-light skin tone,58.9
👩🏼‍🤝‍👩🏽,"women holding hands: medium-light skin tone, medium skin tone",58.9
👩🏼‍🤝‍👩🏾,"women holding hands: medium-light skin tone, medium-dark skin tone",58.9
👩🏼‍🤝‍👩🏿,"women holding hands: medium-light skin tone, dark skin tone",58.9
👩🏽‍🤝‍👩🏻,"women holding hands: medium skin tone, light skin tone",51.53
👩🏽‍🤝‍👩🏼,"women holding hands: medium skin tone, medium-light skin tone",58.9
👭🏽,women holding hands: medium skin tone,48.42
👩🏽‍🤝‍👩🏾,"women holding hands: medium skin tone, medium-dark skin tone",48.42
👩🏽‍🤝‍👩🏿,"women holding hands: medium skin tone, dark skin tone",48.42
👩🏾‍🤝‍👩🏻,"women holding hands: medium-dark skin tone, light skin tone",66.8
👩🏾‍🤝‍👩🏼,"women holding hands: medium-dark skin tone, medium-light skin tone",66.8
👩🏾‍🤝‍👩🏽,"women holding hands: medium-dark skin tone, medium skin tone",62.45
👭🏾,women holding hands: medium-dark skin tone,62.45
👩🏾‍🤝‍👩🏿,"women holding hands: medium-dark skin tone, dark skin tone",62.45
👩🏿‍🤝‍👩🏻,"women holding hands: dark skin tone, light skin tone",71.65
👩🏿‍🤝‍👩🏼,"women holding hands: dark skin tone, medium-light skin tone",85.72
👩🏿‍🤝‍👩🏽,"women holding hands: dark skin tone, medium skin tone",88.65
👩🏿‍🤝‍👩🏾,"women holding hands: dark skin tone, medium-dark skin tone",88.65
👭🏿,women holding hands: dark skin tone,88.65
👫,woman and man holding hands,86.81
👫🏻,woman and man holding hands: light skin tone,83.33
👩🏻‍🤝‍👨🏼,"woman and man holding hands: light skin tone, medium-light skin tone",82.17
👩🏻‍🤝‍👨🏽,"woman and man holding hands: light skin tone, medium skin tone",83.33
👩🏻‍🤝‍👨🏾,"woman and man holding hands: light skin tone, medium-dark skin tone",83.33
👩🏻‍🤝‍👨🏿,"woman and man holding hands: light skin tone, dark skin tone",83.33
👩🏼‍🤝‍👨🏻,"woman and man holding hands: medium-light skin tone, light skin tone",64.14
👫🏼,woman and man holding hands: medium-light skin tone,58.9
👩🏼‍🤝‍👨🏽,"woman and man holding hands: medium-light skin tone, medium skin tone",58.9
👩🏼‍🤝‍👨🏾,"woman and man holding hands: medium-light skin tone, medium-dark skin tone",58.9
👩🏼‍🤝‍👨🏿,"woman and man holding hands: medium-light skin tone, dark skin tone",58.9
👩🏽‍🤝‍👨🏻,"woman and man holding hands: medium skin tone, light skin tone",51.53
👩🏽‍🤝‍👨🏼,"woman and man holding hands: medium skin tone, medium-light skin tone",58.9
👫🏽,woman and man holding hands: medium skin tone,48.42
👩🏽‍🤝‍👨🏾,"woman and man holding hands: medium skin tone, medium-dark skin tone",48.42
👩🏽‍🤝‍👨🏿,"woman and man holding hands: medium skin tone, dark skin tone",48.42
👩🏾‍🤝‍👨🏻,"woman and man holding hands: medium-dark skin tone, light skin tone",66.8
👩🏾‍🤝‍👨🏼,"woman and man holding hands: medium-dark skin tone, medium-light skin tone",66.8
👩🏾‍🤝‍👨🏽,"woman and man holding hands: medium-dark skin tone, medium skin tone",62.45
👫🏾,woman and man holding hands: medium-dark skin tone,62.45
👩🏾‍🤝‍👨🏿,"woman and man holding hands: medium-dark skin tone, dark skin tone",62.45
👩🏿‍🤝‍👨🏻,"woman and man holding hands: dark skin tone, light skin tone",71.65
👩🏿‍🤝‍👨🏼,"woman and man holding hands: dark skin tone, medium-light skin tone",85.72
👩🏿‍🤝‍👨🏽,"woman and man holding hands: dark skin tone, medium skin tone",88.65
👩🏿‍🤝‍👨🏾,"woman and man holding hands: dark skin tone, medium-dark skin tone",88.65
👫🏿,woman and man holding hands: dark skin tone,88.65
👬,men holding hands,86.81
👬🏻,men holding hands: light skin tone,83.33
👨🏻‍🤝‍👨🏼,"men holding hands: light skin tone, medium-light skin tone",82.17
👨🏻‍🤝‍👨🏽,"men holding hands: light skin tone, medium skin tone",83.33
👨🏻‍🤝‍👨🏾,"men holding hands: light skin tone, medium-dark skin tone",83.33
👨🏻‍🤝‍👨🏿,"men holding hands: light skin tone, dark skin tone",83.33
👨🏼‍🤝‍👨🏻,"men holding hands: medium-light skin tone, light skin tone",64.14
👬🏼,men holding hands: medium-light skin tone,58.9
👨🏼‍🤝‍👨🏽,"men holding hands: medium-light skin tone, medium skin tone",58.9
👨🏼‍🤝‍👨🏾,"men holding hands: medium-light skin tone, medium-dark skin tone",58.9
👨🏼‍🤝‍👨🏿,"men holding hands: medium-light skin tone, dark skin tone",58.9
👨🏽‍🤝‍👨🏻,"men holding hands: medium skin tone, light skin tone",51.53
👨🏽‍🤝‍👨🏼,"men holding hands: medium skin tone, medium-light skin tone",58.9
